Feature Group,R2_Train,R2_Test,MSE_Test
"('Lab', 'Brightness', 'Day')",0.7232721800878433,0.8029994218784876,30.88803753884036
"('Lab', 'Chroma', 'Day')",0.7172938446058643,0.7924831918464171,32.536894161978374
"('HSV', 'GRAY', 'GLCM')",0.7487473861024532,0.818337086700675,28.483220399198974
"('HSV', 'GRAY', 'LBP')",0.7809020665191834,0.832235395218843,26.3040822498136
"('HSV', 'GRAY', 'Temp')",0.7764135563734874,0.8762815187584736,19.398019687432
"('HSV', 'GRAY', 'Yellow')",0.6439570234305667,0.7425154520787052,40.371416458273885
"('HSV', 'GRAY', 'Cyan')",0.6510130143414052,0.734920192440347,41.56228943470819
"('HSV', 'GRAY', 'Magenta')",0.6594644668340544,0.7373773653131916,41.17702534736612
"('HSV', 'GRAY', 'Brightness')",0.6630892378791293,0.7285796576969554,42.55643207650997
"('HSV', 'GRAY', 'Chroma')",0.6505532111693965,0.7407286328060876,40.65157472630543
"('HSV', 'GRAY', 'Day')",0.7398003000649854,0.7821514508736844,34.15682444873367
"('HSV', 'GLCM', 'LBP')",0.8214113480625762,0.8263002488802693,27.23466339151613
"('HSV', 'GLCM', 'Temp')",0.8257766222955322,0.8948346549279281,16.489043622844765
"('HSV', 'GLCM', 'Yellow')",0.7487825235059186,0.8182371214947268,28.498894104643643
"('HSV', 'GLCM', 'Cyan')",0.7463808349818943,0.8185376970698761,28.45176637671005
"('HSV', 'GLCM', 'Magenta')",0.7509504558200593,0.8096281016503155,29.84871617451988
"('HSV', 'GLCM', 'Brightness')",0.7455586743975608,0.8129118952831031,29.33384488852403
"('HSV', 'GLCM', 'Chroma')",0.7461253913130462,0.8144049253619616,29.099750300771323
"('HSV', 'GLCM', 'Day')",0.8156964136400455,0.8519418695041905,23.214272446775595
"('HSV', 'LBP', 'Temp')",0.8466274953797177,0.903187521756434,15.17938419638011
"('HSV', 'LBP', 'Yellow')",0.7838220722307387,0.8407152364192116,24.974514307333607
"('HSV', 'LBP', 'Cyan')",0.7769252634002748,0.8363544041718822,25.65825621022798
"('HSV', 'LBP', 'Magenta')",0.7828254238176705,0.8374399668055746,25.488049098655086
"('HSV', 'LBP', 'Brightness')",0.7768958575116337,0.8282315658522825,26.931849096757322
"('HSV', 'LBP', 'Chroma')",0.7773614834255026,0.8322748794893782,26.297891447521987
"('HSV', 'LBP', 'Day')",0.8266596370224472,0.8419071045900033,24.787639379595817
"('HSV', 'Temp', 'Yellow')",0.7747801792360751,0.8735741723465666,19.822508886392853
"('HSV', 'Temp', 'Cyan')",0.7760455301725313,0.8657286696964821,21.052617867176707
"('HSV', 'Temp', 'Magenta')",0.7756878358819932,0.8669024756219375,20.868574947940118
"('HSV', 'Temp', 'Brightness')",0.774969442260887,0.8739523619854603,19.76321192455478
